class,sympotems,remed,causes
الالتهاب الرئوي,نزلات البرد,تناول المزيد من الليمون والعسل الساخن وشرب الكثير من السوائل,عدوى بكتيرية تسمي المكورات العقدية الرئوية
الالتهاب الرئوي,التهاب الشعب الهوائية والربو,تناول المزيد من الليمون والعسل الساخن وشرب الكثير من السوائل  تناول المضادات الحيوية, التدخين لأنه يضر رئتيك ويزيد من فرصة الإصابة
الالتهاب الرئوي,تسمم الدم,تناول المزيد من الليمون والعسل الساخن وشرب الكثير من السوائل  تناول المضادات الحيوية,الالتهاب الرئوي
الالتهاب الرئوي,انخفاض درجة حرارة الجسم,تناول المزيد من الليمون والعسل الساخن وشرب الكثير من السوائل  تناول المضادات الحيوية,تسمم الدم
الحصبة الألمانية,انتفاخات في الغدد وخصوصا الغدد التي خلف الأذنين وفي مؤخرة الرأس,حقنة غلوبولين مناعي,مرض السكر سابقاً
الحصبة الألمانية,طفح جلدي يبدأ بالظهور على الوجه أولا ثم ينتشر إلى الرقبة والصدر وسائر أعضاء الجسم,حقنة غلوبولين مناعي,تنتقل العدوى عن طريق لمس السوائل من فم من أنف أو من عينيّ شخص مصاب بها
الحصبة الألمانية,ظهور تشنجات في الجزء السفلي من البطن أكثر من 8 مرات بالساعة هذه التشنجات تسبب الشعور بتمدد البطن وتذكرنا بآلام الدورة الشهرية,حقنة غلوبولين مناعي,تنتقل العدوى عن طريق لمس السوائل من فم من أنف أو من عينيّ شخص مصاب بها
الولادة المبكرة,ألم خافت في أسفل الظهر,"شرب نصف لتر من الماء أو العصير إذا كان الوضع ناجماً عن محاكاة الولادة  فإن السائل سيوقف هذه العمليةإذا استمرت التشنجات فيجب  الاستلقاء والأولوية للجانب الأيسر ،يجب التوجه إلى المستشفى",تنتقل العدوى عن طريق لمس السوائل من فم من أنف أو من عينيّ شخص مصاب بها
الولادة المبكرة, بشرة شاحبة أو صفراء,"شرب نصف لتر من الماء أو العصير إذا كان الوضع ناجماً عن محاكاة الولادة  فإن السائل سيوقف هذه العمليةإذا استمرت التشنجات فيجب  الاستلقاء والأولوية للجانب الأيسر ، يجب التوجه إلى المستشفى",اضطرابات في المهبل الرحم أو المشيمة . الأمراض المزمنة مثل ارتفاع ضغط الدم والسكري
فقر الدم من الحديد,الإرهاق والضَّعف," تناوُل مكمل غذائي منفصل يحتوي على الحديد. تحتاجين إلى 27 ملليجرامًا من الحديد يوميًا ، عصير البرقوق والفاصولياء والبازلاء المجففة ، فيتامين سي  مثل عصير البرتقال أو الطماطم أو الفراولة",الولادة المبكرة في الماضي او تلوثات مختلفة خاصة تلك التي تؤثر على السائل الأمينوسي أو الجهاز التناسلي
فقر الدم من الحديد,الشعور بالضعف أو التعب بشكل أكثر من المعتاد أو مع ممارسة الرياضة," تناوُل مكمل غذائي منفصل يحتوي على الحديد. تحتاجين إلى 27 ملليجرامًا من الحديد يوميًا ، عصير البرقوق والفاصولياء والبازلاء المجففة ، فيتامين سي  مثل عصير البرتقال أو الطماطم أو الفراولة",عدم كفاية كمية الحديداللازمة للحامل
فقر الدم من الحديد,عدم انتظام ضربات القلب ضيق النَّفَس," تناوُل مكمل غذائي منفصل يحتوي على الحديد. تحتاجين إلى 27 ملليجرامًا من الحديد يوميًا ، عصير البرقوق والفاصولياء والبازلاء المجففة ، فيتامين سي  مثل عصير البرتقال أو الطماطم أو الفراولة",سوء التغذية
فقر الدم من الحديد,الدُّوَار أو الدُّوخة الصُّداع,"استشارة طبيب متخصص في علاج اضطرابات الدم ، عصير البرقوق والفاصولياء والبازلاء المجففة ، فيتامين سي  مثل عصير البرتقال أو الطماطم أو الفراولة",التبرع بكميات كبيرة من الدم
فقر الدم من الحديد,ألم الصدر," تناوُل مكمل غذائي منفصل يحتوي على الحديد. تحتاجين إلى 27 ملليجرامًا من الحديد يوميًا ، عصير البرقوق والفاصولياء والبازلاء المجففة ، فيتامين سي  مثل عصير البرتقال أو الطماطم أو الفراولة",النزيف الشديد خلال الولادات السابقة أو نتيجة الإصابة بالحوادث  
فقر الدم من الحديد, برودة اليدين والقدمين,"استشارة طبيب متخصص في علاج اضطرابات الدم ، عصير البرقوق والفاصولياء والبازلاء المجففة ، فيتامين سي  مثل عصير البرتقال أو الطماطم أو الفراولة",نزيف الحيض أو النزيف الداخلي 
فقر الدم من الحديد,مشاكل في التركيز أو التفكير,"استشارة طبيب متخصص في علاج اضطرابات الدم ، عصير البرقوق والفاصولياء والبازلاء المجففة ، فيتامين سي  مثل عصير البرتقال أو الطماطم أو الفراولة",عدم كفاية كمية الحديداللازمة للحامل
فقر الدم من الحديد,تحول اللون الأزرق لبياض العين," تناوُل مكمل غذائي منفصل يحتوي على الحديد. تحتاجين إلى 27 ملليجرامًا من الحديد يوميًا ، عصير البرقوق والفاصولياء والبازلاء المجففة ، فيتامين سي  مثل عصير البرتقال أو الطماطم أو الفراولة",النزيف الشديد خلال الولادات السابقة أو نتيجة الإصابة بالحوادث  
فقر الدم من الحديد,الحمى والضعف," تناوُل مكمل غذائي منفصل يحتوي على الحديد. تحتاجين إلى 27 ملليجرامًا من الحديد يوميًا ، عصير البرقوق والفاصولياء والبازلاء المجففة ، فيتامين سي  مثل عصير البرتقال أو الطماطم أو الفراولة",سوء التغذية
التهاب الكبد ب,الألم في القسم الأيمن العلوي من البطن,"الجرعة الصفرية والتي تعطى خلال 24 ساعة من ولادة الجنين  نظرا لقوة هذه الجرعة على تنشيط مناعة الطفل ،العلاج المناعي مع التهاب الكبد ب الجلوبيولين المناعي (HBIG)",عدم كفاية كمية الحديداللازمة للحامل
التهاب الكبد ب,الحمى والضعف,"الجرعة الصفرية والتي تعطى خلال 24 ساعة من ولادة الجنين  نظرا لقوة هذه الجرعة على تنشيط مناعة الطفل ،العلاج المناعي مع التهاب الكبد ب الجلوبيولين المناعي (HBIG)",تنتقل الإصابة بهذا الفيروس عبر استعمال إبر ملوثة
التهاب الكبد ب,الألم في القسم الأيمن العلوي من البطن والبول الداكن اللون اليرقان الانسدادي,"الجرعة الصفرية والتي تعطى خلال 24 ساعة من ولادة الجنين  نظرا لقوة هذه الجرعة على تنشيط مناعة الطفل ،العلاج المناعي مع التهاب الكبد ب الجلوبيولين المناعي (HBIG)",تنتقل الإصابة بهذا الفيروس عبر ممارسة الجنس مع شخص مصاب أو حامل للفيروس بدون وقاية أو أثناء الولادة
جدري الماء, شكل طفح جلدي أحمر في كل انحاءالجسم ويكون مصحوبا بالحكة,التطعييم بلقاح VZIG من قبل الطبيب,تناول الادوية مثل الباراسيتامول والإيزونيازيد
